time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 4
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	04_C1T3_L
0.000	info	start_time	2023-11-13T11:45:34.114
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.1, "intercept": 27.4}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 8.0, "intercept": 23.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
7.090	event	sync	rsync
8.095	event	sync	rsync
9.896	event	input	poke_4
10.223	event	sync	rsync
10.495	event	input	poke_4_out
10.912	event	input	poke_5
10.913	state		forced_choice_right
10.987	event	input	poke_5_out
11.395	event	input	poke_6
11.396	state		chose_right
11.397	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.5, "threshold_crossed": false}
11.898	state		no_reward
11.998	state		reward_consumption
12.365	event	input	poke_6_out
13.366	event	timer	consumption_timer
13.366	state		inter_trial_interval
14.927	event	sync	rsync
15.740	event	sync	rsync
15.813	event	input	poke_5
15.832	event	input	poke_5_out
15.842	state		initiation_state
16.432	event	input	poke_4
17.146	event	input	poke_4_out
17.657	event	input	poke_5
17.658	state		choice_state
17.806	event	input	poke_5_out
18.134	event	sync	rsync
18.195	event	input	poke_6
18.197	state		chose_right
18.198	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": true, "mov_ave": 0.4412485, "threshold_crossed": false}
18.698	state		reward_right
