time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 4
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	04_C1T3_L
0.000	info	start_time	2023-11-17T10:16:23.138
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.1, "intercept": 27.4}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 8.0, "intercept": 23.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.064	event	input	poke_5
0.066	state		choice_state
0.425	event	input	poke_5_out
1.192	event	input	poke_6
1.194	state		chose_right
1.195	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
1.695	state		no_reward
1.795	state		reward_consumption
2.474	event	input	poke_6_out
3.475	event	timer	consumption_timer
3.475	state		inter_trial_interval
5.099	event	input	poke_4
5.438	state		initiation_state
6.050	event	input	poke_4_out
6.605	event	input	poke_5
6.606	state		forced_choice_left
6.758	event	input	poke_5_out
7.144	event	input	poke_4
7.145	state		chose_left
7.146	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.4412485, "threshold_crossed": false}
7.647	state		reward_left
7.718	state		reward_consumption
8.539	event	sync	rsync
11.468	event	sync	rsync
13.473	event	sync	rsync
14.852	event	sync	rsync
18.808	event	sync	rsync
20.268	event	input	poke_4_out
21.268	event	timer	consumption_timer
21.268	state		inter_trial_interval
