time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 2
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	07_C1T1_R
0.000	info	start_time	2023-11-16T13:25:34.557
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 6.5, "intercept": 26.3}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 7.3, "intercept": 30.2}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.061	event	input	poke_4_out
1.273	event	input	poke_4
1.769	event	sync	rsync
2.031	event	input	poke_4_out
2.352	event	input	poke_5
2.353	state		forced_choice_left
2.368	event	input	poke_5_out
2.615	event	input	poke_4
2.616	state		chose_left
2.617	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": false, "mov_ave": 0.5, "threshold_crossed": false}
3.118	state		no_reward
3.218	state		reward_consumption
3.534	event	input	poke_4_out
4.268	event	input	poke_4
4.419	event	input	poke_4_out
5.420	event	timer	consumption_timer
5.420	state		inter_trial_interval
5.855	event	sync	rsync
6.901	state		initiation_state
9.483	event	sync	rsync
10.271	event	sync	rsync
11.968	event	input	poke_5
11.969	state		choice_state
12.025	event	input	poke_5_out
12.285	event	input	poke_4
12.286	state		chose_left
12.287	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5587516, "threshold_crossed": false}
12.787	state		reward_left
12.861	state		reward_consumption
16.412	event	sync	rsync
