time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Optobox
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	10_C2T3_R
0.000	info	start_time	2023-11-17T12:46:07.380
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 11.7, "intercept": 51.1}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 11.3, "intercept": 64}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.946	event	input	poke_5
0.947	state		choice_state
1.020	event	input	poke_5_out
1.503	event	input	poke_4
1.505	state		chose_left
1.506	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5587516, "threshold_crossed": false}
1.768	event	sync	rsync
2.006	state		reward_left
2.137	state		reward_consumption
4.572	event	input	poke_4_out
5.003	event	input	poke_4
5.538	event	input	poke_4_out
6.538	event	timer	consumption_timer
6.538	state		inter_trial_interval
7.193	event	sync	rsync
7.206	event	input	poke_5
7.276	event	input	poke_5_out
8.122	state		initiation_state
9.452	event	input	poke_4
10.291	event	input	poke_4_out
12.780	event	sync	rsync
13.860	event	input	poke_6
13.923	event	input	poke_6_out
14.078	event	sync	rsync
14.778	event	input	poke_5
14.779	state		forced_choice_left
14.871	event	input	poke_5_out
15.290	event	input	poke_5
15.323	event	input	poke_5_out
15.843	event	input	poke_4
15.844	state		chose_left
